rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
65,Samuel Hafsahl,,1960,Oslo,2:52:54
66,Kurt Hatten,,1960,Amsterdam,2:53:04
67,Ragnar Mjelstad,,1960,New York,2:53:15
68,Tore Juvik,,1960,København,2:53:30
69,Kristian Kleppan,,1960,Hamburg,2:53:43
70,Wiktor Berg,,1960,Amsterdam,2:53:46
71,Arne Aanensen,,1960,Hamburg,2:54:14
71,Bjarne Gausvik,,1960,Amsterdam,2:54:14
73,Bjørn Aanensen,,1960,Hamburg,2:54:26
74,Terje Steffensen,,1960,Oslo,2:54:49
74,Truls Gundersen,,1960,Oslo,2:54:49
76,Bjørn Gjerde,,1960,Oslo,2:55:03
77,Torodd Lybeck,,1960,Oslo,2:55:10
78,Per Pharo,,1960,New York,2:55:19
79,Bjarte Fanebust,,1960,Berlin,2:55:26
80,P. Stene,,1960,Rotterdam,2:55:47
81,Jens-Kristian Berg,,1960,Oslo,2:55:52
82,Eiolf Eivindsen,,1960,Alstahaug,2:55:56
83,Vidar Losfhus,,1960,New York,2:56:03
84,Christian Wahl,,1960,New York,2:56:07
85,Rune Byrkjeland,,1960,Stockholm,2:56:07
86,Kjell-Magnar Helland,,1960,Oslo,2:56:11
87,Vidar Skjerve,,1960,Alstahaug,2:56:26
88,Geir Wenstøp,,1960,Stockholm,2:56:35
89,Erik Mathisen,,1960,New York,2:56:41
90,Didrik Grønvold,,1960,Oslo,2:56:42
91,Kjell Terje Holen,,1960,Amsterdam,2:56:45
92,Sverre Aksland,,1960,New York,2:56:48
93,Edgar Johansen,,1960,Tromsø,2:57:01
94,Frode Andersson,,1960,Jølster,2:57:05
95,Harald Aas,,1960,Beito,2:57:19
96,Sigmund Pedersen,,1960,Amsterdam,2:57:40
97,Snorre Lægran,,1960,Berlin,2:57:50
98,Bjørn Kvaal,,1960,Oslo,2:57:52
99,Jack Mortensen,,1960,Hadsel,2:57:53
100,Robert Gulbrandsen,,1960,Oslo,2:58:08
101,Rune Kvikstad,,1960,Oslo,2:58:32
102,Ole Petter Bergaust,,1960,Oslo,2:58:48
103,Torbjørn Gripp,,1960,Munchen,2:58:54
104,Bernt Furnes,,1960,Mandal,2:59:01
105,Oddvar Hausken,,1960,Roma,2:59:03
106,Vestein Thorvaldsen,,1960,Oslo,2:59:10
107,Erling Klev,,1960,Hamburg,2:59:24
108,Gunnar Skånøy,,1960,Nordmarka,2:59:29
109,Lars Ove Moen,,1960,Barcelona,2:59:31
110,Helge Fugleseth,,1960,Ålesund,2:59:35
110,Kim Aarli Larsen,,1960,Gøteborg,2:59:35
112,Geir Thune,,1960,Oslo,2:59:40
113,Ola Mellem,,1960,London,2:59:46
114,Jørund Eldevik,,1960,Bodø,2:59:56
